instance,n_cities,formulation,replica,n_qubits,circuit_depth,gate_count,execution_time_sec,objective_value
synth03,3,traditional,0,9,6,23,5.189150702994084,-4488.727236415217
synth03,3,traditional,1,9,6,23,3.129537109998637,-4488.727236415217
synth03,3,traditional,2,9,6,23,2.7606743080104934,-3095.393390604149
synth03,3,traditional,3,9,6,23,2.8942950240016216,-4488.727236415217
synth03,3,traditional,4,9,6,23,2.9990153160033515,-4488.727236415217
synth04,4,traditional,0,16,6,37,3.632443296999554,-4759.730393759528
synth04,4,traditional,1,16,6,37,4.2320765249896795,-4732.901049440219
synth04,4,traditional,2,16,6,37,4.302141043997835,-2255.9049105971426
synth04,4,traditional,3,16,6,37,3.9671219870069763,-7254.618924711721
synth04,4,traditional,4,16,6,37,4.219428118987707,-2336.6592161729513
